@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
5500,'2023/12/12 00:04:49:379',105,0.136534,0.062057,0.142151,-1.510045,-0.037715,0.817826,1
5501,'2023/12/12 00:04:49:413',105,0.0313,-0.039036,-0.047279,-1.341614,0.246684,0.954938,1
5502,'2023/12/12 00:04:49:445',105,-0.088218,-0.068547,-0.044083,-0.989816,0.032057,0.557767,1
5503,'2023/12/12 00:04:49:479',105,-0.0534,-0.021576,-0.138094,-0.46891,0.190169,0.427712,1
5504,'2023/12/12 00:04:49:513',105,0.007163,0.013505,-0.116378,0.053412,-0.00736,0.519294,1
5505,'2023/12/12 00:04:49:546',105,-0.043929,0.011304,0.000918,0.293757,-0.331636,0.374,1
5506,'2023/12/12 00:04:49:579',105,-0.05183,-0.013295,0.042549,-0.01708,-0.185214,0.400996,1
5507,'2023/12/12 00:04:49:612',105,-0.014393,-0.010502,-0.030171,-0.098942,0.233074,0.489926,1
5508,'2023/12/12 00:04:49:647',105,-0.014248,-0.00527,-0.016603,0.011442,0.279727,0.43648,1
5509,'2023/12/12 00:04:49:679',105,-0.02773,-0.010394,0.014653,0.059965,0.085964,0.322599,1
5510,'2023/12/12 00:04:49:713',105,-0.024464,-0.027617,0.015097,0.07493,-0.079748,0.201883,1
5511,'2023/12/12 00:04:49:746',105,0.000537,0.00015,-0.060636,0.423386,0.041937,0.190256,1
5512,'2023/12/12 00:04:49:779',105,0.026466,0.001647,0.007319,0.446544,-0.099217,0.165278,1
5513,'2023/12/12 00:04:49:813',105,-0.00937,0.005744,0.03529,0.21904,0.107699,0.118638,1
5514,'2023/12/12 00:04:49:845',105,-0.008285,-0.007725,0.084238,-0.060023,0.092587,0.122362,1
5515,'2023/12/12 00:04:49:879',105,-0.003304,-0.011083,0.076756,-0.244659,-0.273613,0.084895,1
5516,'2023/12/12 00:04:49:913',105,-0.002748,-0.002701,0.015743,-0.191511,-0.277207,0.085485,1
5517,'2023/12/12 00:04:49:947',105,-0.002017,0.002316,-0.000597,-0.061848,-0.157414,0.074235,1
5518,'2023/12/12 00:04:49:980',105,-0.011617,0.009236,-0.063937,0.142367,-0.055182,0.087617,1
5519,'2023/12/12 00:04:50:014',105,-0.015805,0.025824,-0.042981,0.285523,0.114686,0.117138,1
5520,'2023/12/12 00:04:50:046',105,-0.020942,0.009098,0.052262,0.05204,0.050413,0.055464,1
5521,'2023/12/12 00:04:50:079',105,0.017257,0.02084,-0.016734,-0.099549,0.103665,0.124268,1
5522,'2023/12/12 00:04:50:120',105,-0.006427,0.010514,-0.02625,0.01141,0.163152,0.158851,1
5523,'2023/12/12 00:04:50:146',105,-0.051563,-0.005194,0.031078,-0.04811,-0.017187,-0.04345,1
5524,'2023/12/12 00:04:50:178',105,0.001095,-0.001685,0.011781,-0.025896,0.057247,0.006864,1
5525,'2023/12/12 00:04:50:212',105,-0.004852,-0.013058,0.042221,0.067045,-0.076258,0.033172,1
5526,'2023/12/12 00:04:50:246',105,-0.035433,-0.013707,0.071391,0.04995,-0.317768,-0.081379,1
